,nombre,company,cargo,más info,speaker_bio,url_linkedin,url_TW
17,Estefanía Solera,Microsoft Advertising,Directora de Cuentas,https://www.des-madrid.com/agenda-2021-speakers/estefania-solera/,,no disponible,no disponible
18,Esther Checa Gutiérrez,WomeninVoice,Ambassador,https://www.des-madrid.com/agenda-2021-speakers/esther-checa-gutierrez/,"Expert in Digital Strategy, Digital Transformation a Digital Innovation with more than 18 years in Consulting and Media Enterprises. Currently, I am working as Innovation Director at t2ó, Digital Marketing Agency.",https://es.linkedin.com/in/esthercheca,https://twitter.com/@esther_checa
19,Esther Mateo Rodriguez,ADIF,"D.G Seguridad, Procesos y Sistemas Corporativos",https://www.des-madrid.com/agenda-2021-speakers/esther-mateo-rodriguez/,"An enthusiastic Industrial engineering,technology and cybersecuruty. I have been working in designing and construction on cars, vessels, airplanes and now INfraestructure Administration.",https://www.linkedin.com/in/esther-mateo-rodriguez-5129ab51/,TW no disponible
20,Eva Roca,Schneider Electric,Talent Acquisition & Employer Branding Manager,https://www.des-madrid.com/agenda-2021-speakers/eva-roca/,"Passionate about People & Technology, I had the chance to gain international exposure for large Talent Acquisition Projects. From Consulting, Start ups and Multinationals, I always place the value of Talent in the top of the Business priority in order to transform organizations and shape the future.",@EvaRoca,https://twitter.com/@evarocama
21,Eva Sanchez,AGANEA,Responsable de Seguridad,sin información adicional,no disponible,no disponible,no disponible
22,Fábia Silvia Gomes,Dronak Robotics,CEO,https://www.des-madrid.com/agenda-2021-speakers/fabia-silvia-gomes/,"Fabia is CEO & Co-founder of Dronak Robotics, Ambassador of Talent Woman Spain, Honest Strategy and part of the Leadership Team of the MIT Enterprise Forum Spain.",https://www.linkedin.com/in/fabiasilva/,TW no disponible
23,Fabien Mellano,Multiasistencia,Business Development Director,https://www.des-madrid.com/agenda-2021-speakers/fabien-mellano/,,no disponible,no disponible
24,Fabiola Pérez Ramos,Metiora,CEO,https://www.des-madrid.com/agenda-2021-speakers/fabiola-perez-ramos/,"Fabiola es CEO de Metiora, startup especializada en extraer valor de los datos de sus clientes aplicando Inteligencia Artificial y desarrollando soluciones de IoT. Se formó como Ingeniera de Telecomunicaciones y Científica de Datos, tiene más de 15 años de experiencia en desarrollo de software y aplicación de nuevas tecnologías para mejorar los procesos de grandes empresas.",https://www.linkedin.com/in/fabiola-perez-ramos-8340108/,TW no disponible
25,Federico Ruiz,Mobile World Capital Barcelona,Responsable del Observatorio Nacional 5G (ON5G),https://www.des-madrid.com/agenda-2021-speakers/federico-ruiz/,"Advanced Engineer in Telecommunications from the Technical University of Madrid, he has a long professional track record in entrepreneurship, R&D and business development in industries such as mobile communications, semiconductors and cloud platforms.",https://es.linkedin.com/company/observatorio-nacional-5g,https://twitter.com/@ON5G_MWC
26,Fermín Bueno,Finnovista,Managing Partner,https://www.des-madrid.com/agenda-2021-speakers/fermin-bueno/,"Fermín is Co-founder and Managing Partner at Finnovista, an innovation and venture development firm that is helping to transform finance and insurance in collaboration with corporates, startups and entrepreneurs. He’s a venture capital & innovation professional with extensive investment, product strategy and tech experience in high-tech digital markets. ",https://www.linkedin.com/in/ferminbueno/,https://twitter.com/@ferminbueno
27,Fernando Asín,sin cargo,Managing Partner,sin información adicional,no disponible,no disponible,no disponible
28,Fernando Corredor,Nokia,Marketing and Corporate Affairs,https://www.des-madrid.com/agenda-2021-speakers/fernando-corredor/,,no disponible,no disponible
